,Aldoc_class,Cadps2_class,Calb2_class,Col25a1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Slc6a1_class,Sncg_class,Sst_class,Trp53i11_class,Zero
Cnr1,6.553821034588722,4.482173913585155,2.875104082982898,6.406875050789642,4.816490819790929,4.641481292931134,0.9022831600010365,7.582771169495485,4.766233900945236,6.112792519650065,2.174335629051355,1.5992006177854885,5.598283783931078,7.039910254096748,4.043983956064583,0.8597753155694362,4.253441261164481,9.113461651073898,1.7509113914190704,6.512380016253313,10.763666279322884,10.164623882441207,6.394733523658565,5.631716837563506,0.0746440501096741
Col25a1,0.23914856060938508,0.0976026559525834,0.9596045753464184,4.730190860247799,0.310418003324244,1.7288710829437621,4.558900140107552,0.40448570553734736,0.6213708262999046,1.9390810879691758,0.4068444875477271,0.6339745449572193,1.3011639287672785,1.4704712083210834,0.7981781071119791,0.2221327727067332,0.6679901423966608,0.19020839791840605,0.3599858258064552,0.4437057920318066,1.4299746570537077,0.09348874870130784,0.3401189663009087,3.1150134770690596,0.049098406072715796
Cort,0.019379163165380738,0.06910258046188414,0.12246988128721545,0.03496066062619707,0.004929112893680515,0.006412425562658136,0.04453245490210476,0.11474212137514149,0.013401016500628637,0.08485468498072354,0.0307345537563263,0.06315481555230142,0.04294173827830917,0.1492350258054448,0.020432307377765028,0.008922652926409043,0.07211924804721166,0.04743068992685342,0.10437811692338585,0.19994164729638195,0.19477865793240018,0.44311603558352924,0.032941765276937554,0.31286255322355233,0.003304557791924728
Cox6a2,0.061023790228368756,0.42175355009292453,0.21674234414658444,0.5672065195662314,2.2491585267767062,0.20272427678427843,0.16383780146734786,0.49276749409168763,0.6922505802823892,0.17264413825208347,0.09534819701362066,0.3612366890521693,0.47674671817995873,0.7777167298689005,0.20848284852836813,0.08055452412949549,0.6369536695164225,0.48981658696135894,0.3151888023909492,1.5523437136122606,0.9606099154122031,2.6660180028636513,0.24411627130797187,4.612529446302666,0.04403974291537623
Cplx2,9.249889253932192,4.782642340002729,4.376208089971559,9.325918853858255,12.016039365642277,9.343117696155106,5.0913313089031496,9.107593852937828,6.892484770020932,7.444175371474719,5.497653935522887,3.2731694646813874,6.614809132178898,16.912600724076754,5.8446973830594615,2.7767778183823384,6.409939644367067,6.427423404719533,4.239840530189301,10.711030582251663,14.183451462362289,10.321796256932874,8.478803898380837,13.283781388244822,0.4125344716506947
Cpne5,0.15021107270404635,0.21736371205403446,1.3025045123470764,1.0673133624337146,1.2533958132533118,1.7007560718087236,0.8539225564590587,0.9364246078036068,0.24257480070659407,2.1610609907691045,0.23252730647529554,1.582407262381416,0.5331555042911792,2.497729211739648,0.8881961064742868,0.16151363237100305,1.075443564014165,0.06702770383683966,0.7671802013929998,1.9657912312762205,1.390809786397333,1.8031021735403028,1.0528595922728032,2.4754476427559347,0.0700008521679182
Crh,0.07676014762525604,0.06695328993456276,0.0,0.03534312443479493,0.03474741408377139,0.02144813380829115,0.0433206054280924,0.0,0.058805715736790005,0.0,0.06237307156015364,0.025833771534781967,0.08584394642431065,0.20965042565438916,0.0799326716652059,0.008753619755769508,0.013464924747175143,0.044949725721713865,0.0,0.024766886831094306,0.17820629182061215,0.09388924879431532,0.07011624435188625,0.09534198460274035,0.0017582585025019714
Crhbp,0.10538958455878758,0.15480533752146558,0.02183247647883473,0.6998806936054056,0.05684325928161913,0.05595159483551813,0.09596789540727384,0.3307825576487569,0.07054564044227699,0.2840396609172112,0.044926701327991814,0.36044439563203207,0.0987731189726203,0.1602926674014643,0.2527152250574624,0.020149762698424487,0.003229235004480755,0.03731745930022468,0.06603096095022037,0.034537234539272696,0.12423104662925549,0.1562934842344553,0.07691681820726354,0.12074559957842264,0.002776366153325242
Cryab,1.834911821756056,2.1369305100735847,2.392472339831031,1.7104870590718706,0.7455928913904522,11.351679977444697,1.6573770973345183,0.9194473411489973,11.29034314426079,0.7358993311794986,2.149689880239613,1.0545303286665693,1.6356854908465701,4.173623132964338,7.010168100985333,6.281874213773542,5.493218979002961,2.519753083595505,9.473217913666463,8.013827550650825,13.960676441802871,2.049230140916834,2.4692606396439807,2.8042962772478446,0.4254045342036936
Cxcl14,2.4646880266526914,3.2010903151171544,2.9285941822460253,3.071775343727612,1.115454416761531,3.64491954294865,14.400934067585096,3.228324703056862,2.7829701972187735,4.664937747374577,2.82833546392998,2.307391631617516,3.013645726540684,5.260169059188295,5.886515362164162,4.132787593033465,3.2678366391998948,1.6824127180556316,2.1583026559692717,3.338613365199312,8.695529564007437,2.480823249069365,3.2430115669390114,8.066833858778159,0.5884831944412386
